k_mpc,mass_solar,variance,beta,f_pbh
1.45000000e+07,1.20000000e-02,5.56339778e-08,0.00000000e+00,0.00000000e+00
1.38037572e+07,1.32410562e-02,7.20423395e-08,0.00000000e+00,0.00000000e+00
1.31409456e+07,1.46104642e-02,9.29862098e-08,0.00000000e+00,0.00000000e+00
1.25099602e+07,1.61214981e-02,1.19627616e-07,0.00000000e+00,0.00000000e+00
1.19092726e+07,1.77888053e-02,1.53400159e-07,0.00000000e+00,0.00000000e+00
1.13374280e+07,1.96285476e-02,1.96065448e-07,0.00000000e+00,0.00000000e+00
1.07930416e+07,2.16585585e-02,2.49779489e-07,0.00000000e+00,0.00000000e+00
1.02747948e+07,2.38985159e-02,3.17170346e-07,0.00000000e+00,0.00000000e+00
9.78143261e+06,2.63701328e-02,4.01428497e-07,0.00000000e+00,0.00000000e+00
9.31176003e+06,2.90973675e-02,5.06411346e-07,0.00000000e+00,0.00000000e+00
8.86463960e+06,3.21066566e-02,6.36763401e-07,0.00000000e+00,0.00000000e+00
8.43898843e+06,3.54271705e-02,7.98053614e-07,0.00000000e+00,0.00000000e+00
8.03377565e+06,3.90910964e-02,9.96931349e-07,0.00000000e+00,0.00000000e+00
7.64801987e+06,4.31339504e-02,1.24130233e-06,0.00000000e+00,0.00000000e+00
7.28078683e+06,4.75949219e-02,1.54052577e-06,0.00000000e+00,0.00000000e+00
6.93118713e+06,5.25172531e-02,1.90563358e-06,0.00000000e+00,0.00000000e+00
6.59837406e+06,5.79486584e-02,2.34957238e-06,0.00000000e+00,0.00000000e+00
6.28154160e+06,6.39417871e-02,2.88746839e-06,0.00000000e+00,0.00000000e+00
5.97992240e+06,7.05547332e-02,3.53691486e-06,0.00000000e+00,0.00000000e+00
5.69278598e+06,7.78515991e-02,4.31828121e-06,0.00000000e+00,0.00000000e+00
5.41943691e+06,8.59031167e-02,5.25504176e-06,0.00000000e+00,0.00000000e+00
5.15921317e+06,9.47873332e-02,6.37412171e-06,0.00000000e+00,0.00000000e+00
4.91148454e+06,1.04590367e-01,7.70625644e-06,0.00000000e+00,0.00000000e+00
4.67565102e+06,1.15407245e-01,9.28635928e-06,0.00000000e+00,0.00000000e+00
4.45114147e+06,1.27342818e-01,1.11538917e-05,0.00000000e+00,0.00000000e+00
4.23741213e+06,1.40512784e-01,1.33532286e-05,0.00000000e+00,0.00000000e+00
4.03394538e+06,1.55044807e-01,1.59340090e-05,0.00000000e+00,0.00000000e+00
3.84024844e+06,1.71079750e-01,1.89514632e-05,0.00000000e+00,0.00000000e+00
3.65585220e+06,1.88773049e-01,2.24667031e-05,0.00000000e+00,0.00000000e+00
3.48031007e+06,2.08296213e-01,2.65469639e-05,0.00000000e+00,0.00000000e+00
3.31319690e+06,2.29838489e-01,3.12657812e-05,0.00000000e+00,0.00000000e+00
3.15410796e+06,2.53608697e-01,3.67030893e-05,0.00000000e+00,0.00000000e+00
3.00265795e+06,2.79837251e-01,4.29452237e-05,0.00000000e+00,0.00000000e+00
2.85848008e+06,3.08778398e-01,5.00848100e-05,0.00000000e+00,0.00000000e+00
2.72122516e+06,3.40712678e-01,5.82205230e-05,0.00000000e+00,0.00000000e+00
2.59056078e+06,3.75949644e-01,6.74566991e-05,0.00000000e+00,0.00000000e+00
2.46617048e+06,4.14830864e-01,7.79027845e-05,0.00000000e+00,0.00000000e+00
2.34775299e+06,4.57733233e-01,8.96726054e-05,0.00000000e+00,0.00000000e+00
2.23502153e+06,5.05072623e-01,1.02883447e-04,0.00000000e+00,0.00000000e+00
2.12770306e+06,5.57307917e-01,1.17654932e-04,0.00000000e+00,0.00000000e+00
2.02553768e+06,6.14945455e-01,1.34107689e-04,0.00000000e+00,0.00000000e+00
1.92827795e+06,6.78543946e-01,1.52361812e-04,2.71789795e-291,8.90856844e-283
1.83568831e+06,7.48719879e-01,1.72535114e-04,1.60570989e-257,5.01038576e-249
1.74754453e+06,8.26153501e-01,1.94741168e-04,1.96444072e-228,5.83542268e-220
1.66363313e+06,9.11595413e-01,2.19087176e-04,2.57394316e-203,7.27883123e-195
1.58375087e+06,1.00587384e+00,2.45671657e-04,1.42625197e-181,3.83962017e-173
1.50770431e+06,1.10990268e+00,2.74582001e-04,1.05608349e-162,2.70657189e-154
1.43530925e+06,1.22469031e+00,3.05891907e-04,2.74579761e-146,6.69914142e-138
1.36639037e+06,1.35134944e+00,3.39658760e-04,5.65222083e-132,1.31280146e-123
1.30078075e+06,1.49110783e+00,3.75920980e-04,1.82898785e-119,4.04408300e-111
1.23832149e+06,1.64532022e+00,4.14695402e-04,1.66135294e-108,3.49703881e-100
1.17886132e+06,1.81548146e+00,4.55974744e-04,6.92366417e-99,1.38740690e-90
1.12225623e+06,2.00324101e+00,4.99725219e-04,2.00912845e-90,3.83270035e-82
1.06836913e+06,2.21041890e+00,5.45884367e-04,5.78958575e-83,1.05141450e-74
1.01706952e+06,2.43902341e+00,5.94359158e-04,2.24244181e-76,3.87683182e-68
9.68233153e+05,2.69127051e+00,6.45024442e-04,1.51203801e-70,2.48855817e-62
9.21741745e+05,2.96960535e+00,6.97721807e-04,2.21487388e-65,3.47027106e-57
8.77482705e+05,3.27672595e+00,7.52258897e-04,8.52279539e-61,1.27123478e-52
8.35348839e+05,3.61560938e+00,8.08409262e-04,1.01429414e-56,1.44024683e-48
7.95238104e+05,3.98954059e+00,8.65912761e-04,4.29669556e-53,5.80813769e-45
7.57053357e+05,4.40214427e+00,9.24476573e-04,7.31358841e-50,9.41157146e-42
7.20702117e+05,4.85741998e+00,9.83776836e-04,5.55406106e-47,6.80411408e-39
6.86096345e+05,5.35978093e+00,1.04346091e-03,2.06010287e-44,2.40258716e-36
6.53152230e+05,5.91409672e+00,1.10315031e-03,4.03650122e-42,4.48151279e-34
6.21789984e+05,6.52574060e+00,1.16244418e-03,4.47157554e-40,4.72617102e-32
5.91933651e+05,7.20064152e+00,1.22092345e-03,2.97057572e-38,2.98895100e-30
5.63510922e+05,7.94534160e+00,1.27815545e-03,1.24549334e-36,1.19302319e-28
5.36452961e+05,8.76705958e+00,1.33369900e-03,3.44521748e-35,3.14161836e-27
5.10694234e+05,9.67376073e+00,1.38710995e-03,6.53365816e-34,5.67182081e-26
4.86172358e+05,1.06742342e+01,1.43794694e-03,8.78230263e-33,7.25778001e-25
4.62827942e+05,1.17781779e+01,1.48577740e-03,8.61093301e-32,6.77446370e-24
4.40604450e+05,1.29962930e+01,1.53018360e-03,6.31276838e-31,4.72796087e-23
4.19448057e+05,1.43403872e+01,1.57076875e-03,3.53435691e-30,2.51996048e-22
3.99307525e+05,1.58234894e+01,1.60716280e-03,1.53862826e-29,1.04435064e-21
3.80134077e+05,1.74599761e+01,1.63902811e-03,5.28758377e-29,3.41663986e-21
3.61881275e+05,1.92657104e+01,1.66606464e-03,1.45250489e-28,8.93488269e-21
3.44504913e+05,2.12581962e+01,1.68801461e-03,3.22190647e-28,1.88674622e-20
3.27962907e+05,2.34567476e+01,1.70466665e-03,5.81670687e-28,3.24270204e-20
3.12215195e+05,2.58826762e+01,1.71585918e-03,8.59681038e-28,4.56243323e-20
2.97223637e+05,2.85594976e+01,1.72148297e-03,1.04413184e-27,5.27525943e-20
2.82951924e+05,3.15131594e+01,1.72148297e-03,1.04413184e-27,5.02195863e-20
2.69365493e+05,3.47722930e+01,1.71585918e-03,8.59681038e-28,3.93626607e-20
2.56431438e+05,3.83684906e+01,1.70466665e-03,5.81670687e-28,2.53544144e-20
2.44118435e+05,4.23366117e+01,1.68801461e-03,3.22190647e-28,1.33696071e-20
2.32396661e+05,4.67151214e+01,1.66606464e-03,1.45250489e-28,5.73789541e-21
2.21237729e+05,5.15464624e+01,1.63902811e-03,5.28758377e-29,1.98848167e-21
2.10614613e+05,5.68774673e+01,1.60716280e-03,1.53862826e-29,5.50842377e-22
2.00501584e+05,6.27598118e+01,1.57076875e-03,3.53435691e-30,1.20457363e-22
1.90874150e+05,6.92505165e+01,1.53018360e-03,6.31276838e-31,2.04819882e-23
1.81708994e+05,7.64124985e+01,1.48577740e-03,8.61093301e-32,2.65969462e-24
1.72983919e+05,8.43151825e+01,1.43794694e-03,8.78230263e-33,2.58237477e-25
1.64677794e+05,9.30351727e+01,1.38710995e-03,6.53365816e-34,1.82892791e-26
1.56770502e+05,1.02656996e+02,1.33369900e-03,3.44521748e-35,9.18091845e-28
1.49242892e+05,1.13273921e+02,1.27815545e-03,1.24549334e-36,3.15965893e-29
1.42076734e+05,1.24988864e+02,1.22092345e-03,2.97057572e-38,7.17412156e-31
1.35254671e+05,1.37915381e+02,1.16244418e-03,4.47157554e-40,1.02805887e-32
1.28760182e+05,1.52178776e+02,1.10315031e-03,4.03650122e-42,8.83470003e-35
1.22577537e+05,1.67917311e+02,1.04346091e-03,2.06010287e-44,4.29244694e-37
1.16691762e+05,1.85283546e+02,9.83776836e-04,5.55406106e-47,1.10168132e-39
1.11088603e+05,2.04445821e+02,9.24476573e-04,7.31358841e-50,1.38103651e-42
1.05754490e+05,2.25589884e+02,8.65912761e-04,4.29669556e-53,7.72393369e-46
1.00676503e+05,2.48920695e+02,8.08409262e-04,1.01429414e-56,1.73578998e-49
9.58423449e+04,2.74664410e+02,7.52258897e-04,8.52279539e-61,1.38849600e-53
9.12403072e+04,3.03070575e+02,6.97721807e-04,2.21487388e-65,3.43511183e-58
8.68592444e+04,3.34414544e+02,6.45024442e-04,1.51203801e-70,2.23246107e-63
8.26885459e+04,3.69000148e+02,5.94359158e-04,2.24244181e-76,3.15189453e-69
7.87181109e+04,4.07162642e+02,5.45884367e-04,5.78958575e-83,7.74688828e-76
7.49383232e+04,4.49271954e+02,4.99725219e-04,2.00912845e-90,2.55927417e-83
7.13400286e+04,4.95736267e+02,4.55974744e-04,6.92366417e-99,8.39603834e-92
6.79145125e+04,5.47005982e+02,4.14695402e-04,1.66135294e-108,1.91791622e-101
6.46534785e+04,6.03578080e+02,3.75920980e-04,1.82898785e-119,2.01005461e-112
6.15490287e+04,6.66000941e+02,3.39658760e-04,5.65222083e-132,5.91351175e-125
5.85936445e+04,7.34879659e+02,3.05891907e-04,2.74579761e-146,2.73479120e-139
5.57801683e+04,8.10881908e+02,2.74582001e-04,1.05608349e-162,1.00134379e-155
5.31017860e+04,8.94744411e+02,2.45671657e-04,1.42625197e-181,1.28739117e-174
5.05520109e+04,9.87280088e+02,2.19087176e-04,2.57394316e-203,2.21178306e-196
4.81246678e+04,1.08938593e+03,1.94741168e-04,1.96444072e-228,1.60698496e-221
4.58138777e+04,1.20205170e+03,1.72535114e-04,1.60570989e-257,1.25045847e-250
4.36140443e+04,1.32636951e+03,1.52361812e-04,2.71789795e-291,2.01495173e-284
4.15198398e+04,1.46354444e+03,1.34107689e-04,0.00000000e+00,0.00000000e+00
3.95261921e+04,1.61490618e+03,1.17654932e-04,0.00000000e+00,0.00000000e+00
3.76282729e+04,1.78192196e+03,1.02883447e-04,0.00000000e+00,0.00000000e+00
3.58214856e+04,1.96621074e+03,8.96726054e-05,0.00000000e+00,0.00000000e+00
3.41014544e+04,2.16955892e+03,7.79027845e-05,0.00000000e+00,0.00000000e+00
3.24640134e+04,2.39393763e+03,6.74566991e-05,0.00000000e+00,0.00000000e+00
3.09051971e+04,2.64152190e+03,5.82205230e-05,0.00000000e+00,0.00000000e+00
2.94212300e+04,2.91471167e+03,5.00848100e-05,0.00000000e+00,0.00000000e+00
2.80085182e+04,3.21615509e+03,4.29452237e-05,0.00000000e+00,0.00000000e+00
2.66636403e+04,3.54877420e+03,3.67030893e-05,0.00000000e+00,0.00000000e+00
2.53833390e+04,3.91579323e+03,3.12657812e-05,0.00000000e+00,0.00000000e+00
2.41645136e+04,4.32076986e+03,2.65469639e-05,0.00000000e+00,0.00000000e+00
2.30042123e+04,4.76762972e+03,2.24667031e-05,0.00000000e+00,0.00000000e+00
2.18996248e+04,5.26070443e+03,1.89514632e-05,0.00000000e+00,0.00000000e+00
2.08480760e+04,5.80477360e+03,1.59340090e-05,0.00000000e+00,0.00000000e+00
1.98470192e+04,6.40511113e+03,1.33532286e-05,0.00000000e+00,0.00000000e+00
1.88940299e+04,7.06753639e+03,1.11538917e-05,0.00000000e+00,0.00000000e+00
1.79868000e+04,7.79847056e+03,9.28635928e-06,0.00000000e+00,0.00000000e+00
1.71231324e+04,8.60499893e+03,7.70625644e-06,0.00000000e+00,0.00000000e+00
1.63009353e+04,9.49493956e+03,6.37412171e-06,0.00000000e+00,0.00000000e+00
1.55182174e+04,1.04769190e+04,5.25504176e-06,0.00000000e+00,0.00000000e+00
1.47730830e+04,1.15604562e+04,4.31828121e-06,0.00000000e+00,0.00000000e+00
1.40637276e+04,1.27560542e+04,3.53691486e-06,0.00000000e+00,0.00000000e+00
1.33884332e+04,1.40753026e+04,2.88746839e-06,0.00000000e+00,0.00000000e+00
1.27455642e+04,1.55309894e+04,2.34957238e-06,0.00000000e+00,0.00000000e+00
1.21335636e+04,1.71372253e+04,1.90563358e-06,0.00000000e+00,0.00000000e+00
1.15509494e+04,1.89095803e+04,1.54052577e-06,0.00000000e+00,0.00000000e+00
1.09963103e+04,2.08652347e+04,1.24130233e-06,0.00000000e+00,0.00000000e+00
1.04683033e+04,2.30231455e+04,9.96931349e-07,0.00000000e+00,0.00000000e+00
9.96564940e+03,2.54042304e+04,7.98053614e-07,0.00000000e+00,0.00000000e+00
9.48713133e+03,2.80315702e+04,6.36763401e-07,0.00000000e+00,0.00000000e+00
9.03159013e+03,3.09306331e+04,5.06411346e-07,0.00000000e+00,0.00000000e+00
8.59792255e+03,3.41295210e+04,4.01428497e-07,0.00000000e+00,0.00000000e+00
8.18507827e+03,3.76592422e+04,3.17170346e-07,0.00000000e+00,0.00000000e+00
7.79205743e+03,4.15540120e+04,2.49779489e-07,0.00000000e+00,0.00000000e+00
7.41790817e+03,4.58515841e+04,1.96065448e-07,0.00000000e+00,0.00000000e+00
7.06172435e+03,5.05936170e+04,1.53400159e-07,0.00000000e+00,0.00000000e+00
6.72264331e+03,5.58260772e+04,1.19627616e-07,0.00000000e+00,0.00000000e+00
6.39984384e+03,6.15996856e+04,9.29862098e-08,0.00000000e+00,0.00000000e+00
6.09254416e+03,6.79704084e+04,7.20423395e-08,0.00000000e+00,0.00000000e+00
5.80000000e+03,7.50000000e+04,5.56339778e-08,0.00000000e+00,0.00000000e+00
